epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2888,0.60802,1.58643,0.95172,0.85281,0.6,0.65583,0.52985,0.82218,1.60565,1.09808,0.00048,0.00048,0.00048
2,28.2499,0.62927,0.71347,0.95732,0.0015,0.31667,0.00095,0.0002,nan,nan,nan,0.000973532,0.000973532,0.000973532
3,42.1095,0.66987,0.69031,0.99809,0,0,0,0,nan,nan,nan,0.00146046,0.00146046,0.00146046
4,56.7507,0.72564,0.67654,0.99221,0,0,0,0,2.16656,inf,10.2035,0.0019408,0.0019408,0.0019408
5,70.6894,0.64821,0.53736,0.96914,0.00108,0.29444,0.00073,0.00014,3.77619,inf,26.841,0.0019472,0.0019472,0.0019472
6,84.3575,0.63144,0.52267,0.9673,0.57529,0.63889,0.6555,0.47329,1.23733,5.63724,1.42845,0.001934,0.001934,0.001934
7,97.9511,0.60589,0.48004,0.94213,0.71152,0.26036,0.26963,0.22401,2.11926,3.52732,2.61612,0.0019208,0.0019208,0.0019208
8,111.429,0.61539,0.47214,0.94833,0.96057,0.5,0.59103,0.49057,1.06188,2.971,1.18993,0.0019076,0.0019076,0.0019076
9,124.913,0.61555,0.46135,0.95718,0.32043,0.86111,0.3078,0.25259,0.67096,6.61384,1.00475,0.0018944,0.0018944,0.0018944
10,138.57,0.57245,0.45174,0.95797,0.88938,0.77222,0.85782,0.68473,0.78436,0.90364,1.14855,0.0018812,0.0018812,0.0018812
11,152.324,0.56803,0.43107,0.92068,0.97342,0.97778,0.99307,0.86946,0.50934,0.49128,0.91801,0.001868,0.001868,0.001868
12,166.159,0.56866,0.43335,0.92359,0.94611,0.97542,0.98811,0.85716,0.52475,0.43101,0.91638,0.0018548,0.0018548,0.0018548
13,179.746,0.56704,0.40227,0.94822,0.96588,0.52778,0.58376,0.50538,1.29591,1.84093,1.43209,0.0018416,0.0018416,0.0018416
14,193.193,0.54902,0.4082,0.92318,0.9679,0.83761,0.8713,0.73015,0.72133,0.62546,1.01663,0.0018284,0.0018284,0.0018284
15,207.618,0.53051,0.38786,0.91622,0.97614,0.97222,0.98843,0.87731,0.48846,0.48447,0.90239,0.0018152,0.0018152,0.0018152
16,221.556,0.54185,0.42048,0.92878,0.99444,0.99319,0.99494,0.87256,0.50935,0.35028,0.90314,0.001802,0.001802,0.001802
17,235.089,0.5539,0.41742,0.92889,0.99587,0.99444,0.995,0.88055,0.46813,0.34589,0.89138,0.0017888,0.0017888,0.0017888
18,248.734,0.50817,0.39092,0.91697,0.9407,0.97222,0.98673,0.89101,0.42561,0.4947,0.87421,0.0017756,0.0017756,0.0017756
19,262.44,0.53005,0.38568,0.91862,0.99986,0.99444,0.995,0.8994,0.46628,0.32223,0.88672,0.0017624,0.0017624,0.0017624
20,276.528,0.52259,0.38635,0.90469,0.99298,0.99444,0.99494,0.90123,0.44353,0.31378,0.88425,0.0017492,0.0017492,0.0017492
21,290.594,0.52799,0.37235,0.90849,0.99441,0.98742,0.99478,0.90119,0.45139,0.32467,0.87763,0.001736,0.001736,0.001736
22,304.257,0.52655,0.35921,0.90924,0.99605,0.99444,0.995,0.91056,0.43761,0.29386,0.87865,0.0017228,0.0017228,0.0017228
23,318.149,0.48366,0.34476,0.90351,0.99964,0.99444,0.995,0.91949,0.42729,0.28787,0.86861,0.0017096,0.0017096,0.0017096
24,332.838,0.50393,0.3466,0.90124,1,0.99442,0.995,0.88871,0.48172,0.30555,0.89117,0.0016964,0.0016964,0.0016964
25,346.695,0.48775,0.3438,0.889,0.99775,0.99444,0.995,0.90583,0.42364,0.29779,0.86759,0.0016832,0.0016832,0.0016832
26,360.194,0.48795,0.35915,0.88997,0.98774,0.99444,0.99394,0.89927,0.43851,0.28247,0.87691,0.00167,0.00167,0.00167
27,373.917,0.49463,0.34296,0.88834,0.99244,0.99444,0.99483,0.90393,0.4477,0.28932,0.8789,0.0016568,0.0016568,0.0016568
28,387.785,0.49232,0.33972,0.89756,0.99771,0.99444,0.995,0.89702,0.44132,0.29704,0.87332,0.0016436,0.0016436,0.0016436
29,401.232,0.48043,0.32491,0.9077,0.99932,0.99444,0.995,0.90727,0.43683,0.27961,0.87038,0.0016304,0.0016304,0.0016304
30,414.686,0.48481,0.3288,0.89848,0.99344,0.99444,0.99494,0.91611,0.45227,0.27618,0.8843,0.0016172,0.0016172,0.0016172
31,428.564,0.49516,0.3538,0.90762,0.99901,0.99444,0.995,0.90266,0.42885,0.27641,0.8703,0.001604,0.001604,0.001604
32,442.642,0.46953,0.32267,0.8922,0.9986,0.99444,0.995,0.90936,0.43011,0.29258,0.87676,0.0015908,0.0015908,0.0015908
33,456.375,0.46984,0.33913,0.88192,0.99855,0.99444,0.995,0.90264,0.44232,0.2767,0.87175,0.0015776,0.0015776,0.0015776
34,469.668,0.48283,0.3291,0.89991,0.99952,0.99444,0.995,0.90904,0.40985,0.27886,0.85889,0.0015644,0.0015644,0.0015644
35,482.929,0.47422,0.32179,0.89144,0.9833,0.98889,0.99451,0.91158,0.43327,0.27196,0.88099,0.0015512,0.0015512,0.0015512
36,496.402,0.46257,0.32527,0.8831,0.99665,0.99444,0.995,0.89896,0.41959,0.2699,0.85891,0.001538,0.001538,0.001538
37,509.964,0.47651,0.34029,0.90136,0.99814,0.99444,0.995,0.91799,0.40782,0.30189,0.86158,0.0015248,0.0015248,0.0015248
38,523.331,0.47294,0.33699,0.89707,0.99427,0.9644,0.99056,0.8907,0.47863,0.3459,0.89133,0.0015116,0.0015116,0.0015116
39,536.986,0.48514,0.34277,0.88701,0.99803,0.99444,0.995,0.91933,0.41562,0.27749,0.86494,0.0014984,0.0014984,0.0014984
40,550.562,0.49332,0.3366,0.90294,0.99897,0.99444,0.995,0.91139,0.41611,0.27284,0.86449,0.0014852,0.0014852,0.0014852
41,563.986,0.47965,0.34697,0.90689,0.99444,0.99388,0.99494,0.91824,0.40812,0.26131,0.85828,0.001472,0.001472,0.001472
42,577.319,0.46442,0.31473,0.89335,0.99848,0.99444,0.995,0.91554,0.42163,0.25919,0.85409,0.0014588,0.0014588,0.0014588
43,590.889,0.4781,0.31734,0.89062,0.99858,0.99444,0.995,0.90103,0.41304,0.26756,0.85712,0.0014456,0.0014456,0.0014456
